ticker,date,open,high,low,close,volume
NFLX,12/28/20 20:04,520.26,520.26,520.25,520.25,155
NFLX,12/28/20 20:05,520.26,520.41,520.19,520.19,220
NFLX,12/28/20 20:06,520.19,520.19,520.19,520.19,0
NFLX,12/28/20 20:07,520.28,520.28,520.12,520.26,308
NFLX,12/28/20 20:08,520.25,520.25,520.18,520.205,76
NFLX,12/28/20 20:09,520.2,520.2,520.2,520.2,100
NFLX,12/28/20 20:10,520.3,520.3,520.3,520.3,8
NFLX,12/28/20 20:11,520.14,520.21,520.14,520.21,85
NFLX,12/28/20 20:12,520.2,520.265,520.12,520.24,132
NFLX,12/28/20 20:13,520.25,520.39,520.25,520.26,501
NFLX,12/28/20 20:14,520.21,520.29,520.21,520.22,385
NFLX,12/28/20 20:15,520.24,520.24,520.205,520.235,144
NFLX,12/28/20 20:16,520.16,520.16,520.14,520.14,6
NFLX,12/28/20 20:17,520.37,520.555,520.37,520.51,41
NFLX,12/28/20 20:18,520.59,520.6,520.41,520.41,20
NFLX,12/28/20 20:19,520.52,520.54,520.34,520.39,625
NFLX,12/28/20 20:20,520.39,520.39,520.39,520.39,0
NFLX,12/28/20 20:21,520.39,520.39,520.39,520.39,0
NFLX,12/28/20 20:22,520.43,520.62,520.43,520.52,922
NFLX,12/28/20 20:23,520.55,520.55,520.51,520.51,105
NFLX,12/28/20 20:24,520.29,520.29,520.24,520.24,200
NFLX,12/28/20 20:25,520.325,520.325,520.125,520.24,102
NFLX,12/28/20 20:26,520.24,520.24,520.24,520.24,0
NFLX,12/28/20 20:27,520.23,520.23,519.95,520.015,356
NFLX,12/28/20 20:28,519.9,519.9,519.46,519.47,614
NFLX,12/28/20 20:29,519.895,519.895,519.73,519.73,258
NFLX,12/28/20 20:30,519.86,520.12,519.86,520.11,232
NFLX,12/28/20 20:31,520.17,520.23,520.15,520.19,368
NFLX,12/28/20 20:32,520.26,520.34,520.24,520.34,209
NFLX,12/28/20 20:33,520.29,520.5,520.29,520.5,221
NFLX,12/28/20 20:34,520.36,520.57,520.36,520.45,315
NFLX,12/28/20 20:35,520.45,520.485,520.26,520.28,900
NFLX,12/28/20 20:36,520.105,520.105,520.01,520.02,219
NFLX,12/28/20 20:37,519.81,519.94,519.805,519.805,107
NFLX,12/28/20 20:38,519.84,520.27,519.84,520.26,444
NFLX,12/28/20 20:39,520.29,520.29,519.9,519.9,444
NFLX,12/28/20 20:40,520.02,520.03,520.01,520.03,102
NFLX,12/28/20 20:41,519.86,520.09,519.69,520.03,801
NFLX,12/28/20 20:42,520.04,520.14,520.04,520.08,621
NFLX,12/28/20 20:43,520.1,520.1,519.94,520.01,900
NFLX,12/28/20 20:44,520,520.09,519.88,520.015,586
NFLX,12/28/20 20:45,520.015,520.085,519.9,520.02,269
NFLX,12/28/20 20:46,520.06,520.105,519.86,519.93,130
NFLX,12/28/20 20:47,519.84,519.875,519.84,519.875,91
NFLX,12/28/20 20:48,519.78,519.85,519.47,519.65,815
NFLX,12/28/20 20:49,519.62,519.62,519.36,519.55,1103
NFLX,12/28/20 20:50,520,520,519.68,519.68,293
NFLX,12/28/20 20:51,519.58,519.66,519.32,519.58,766
NFLX,12/28/20 20:52,519.61,519.83,519.535,519.83,243
NFLX,12/28/20 20:53,520.12,520.265,519.93,520.115,777
NFLX,12/28/20 20:54,520.15,520.15,519.85,519.85,851
NFLX,12/28/20 20:55,519.58,519.58,519.12,519.22,455
NFLX,12/28/20 20:56,519.35,519.63,519.26,519.63,535
NFLX,12/28/20 20:57,519.8,519.8,519.68,519.7,227
NFLX,12/28/20 20:58,519.67,519.72,519.52,519.55,1921
NFLX,12/28/20 20:59,519.555,519.595,518.97,519,2330
NFLX,12/28/20 21:00,519,519,519,519,0
NFLX,12/29/20 14:30,518.94,520,517.85,517.85,1272
NFLX,12/29/20 14:31,517.58,517.72,515.635,516.03,504
NFLX,12/29/20 14:32,516,517.02,515.83,517.02,605
NFLX,12/29/20 14:33,515.97,518.24,515.89,517.46,386
NFLX,12/29/20 14:34,517.83,518.49,517.06,517.06,534
NFLX,12/29/20 14:35,517.99,518.77,517.99,518.25,536
NFLX,12/29/20 14:36,517.57,518.29,517.57,517.93,873
NFLX,12/29/20 14:37,518.03,518.03,517.65,517.65,310
NFLX,12/29/20 14:38,517.52,517.52,516.77,517.03,1002
NFLX,12/29/20 14:39,517.665,518.175,517.64,517.85,830
NFLX,12/29/20 14:40,518.25,518.355,518.03,518.03,321
NFLX,12/29/20 14:41,517.3,519.55,517.3,519.55,439
NFLX,12/29/20 14:42,520.085,521.27,520.085,521.05,411
NFLX,12/29/20 14:43,520.77,520.91,520.21,520.825,837
NFLX,12/29/20 14:44,521.34,521.38,521.34,521.38,205
NFLX,12/29/20 14:45,520.94,522.74,520.94,522.74,573
NFLX,12/29/20 14:46,522.79,523.21,522.79,523.21,237
NFLX,12/29/20 14:47,522.75,522.85,522.38,522.55,708
NFLX,12/29/20 14:48,522.6,523.38,522.44,523.06,1285
NFLX,12/29/20 14:49,523.77,524.88,523.77,524.56,1348
NFLX,12/29/20 14:50,524.6,524.74,524.16,524.675,1079
NFLX,12/29/20 14:51,524.84,524.98,524.275,524.75,834
NFLX,12/29/20 14:52,524.94,525.35,524.31,524.31,851
NFLX,12/29/20 14:53,524.22,524.3,523.875,523.95,337
NFLX,12/29/20 14:54,524.015,524.04,524.015,524.04,111
NFLX,12/29/20 14:55,524.075,524.075,523.31,523.31,584
NFLX,12/29/20 14:56,523.02,523.06,522.73,522.73,310
NFLX,12/29/20 14:57,523.11,523.11,522.47,522.75,137
NFLX,12/29/20 14:58,522.75,522.795,522.55,522.6,310
NFLX,12/29/20 14:59,522.61,522.62,522.42,522.42,235
NFLX,12/29/20 15:00,522.525,522.65,522.07,522.21,565
NFLX,12/29/20 15:01,521.9,522.575,521.74,521.74,472
NFLX,12/29/20 15:02,521.72,522.74,521.72,522.48,202
NFLX,12/29/20 15:03,522.86,523.32,522.86,522.88,210
NFLX,12/29/20 15:04,522.77,523.34,522.77,523.11,424
NFLX,12/29/20 15:05,523.61,523.61,522.89,522.89,62
NFLX,12/29/20 15:06,522.63,522.825,522.46,522.46,311
NFLX,12/29/20 15:07,522.435,522.45,521.88,522.19,168
NFLX,12/29/20 15:08,521.79,522.49,521.57,522.49,105
NFLX,12/29/20 15:09,522.42,522.625,522.31,522.625,438
NFLX,12/29/20 15:10,522.74,523.67,522.74,523.67,453
NFLX,12/29/20 15:11,523.97,524.03,523.515,523.515,804
NFLX,12/29/20 15:12,523.77,523.77,523.51,523.51,60
NFLX,12/29/20 15:13,523.055,523.055,523.055,523.055,5
NFLX,12/29/20 15:14,523.125,523.125,522.4,522.48,299
NFLX,12/29/20 15:15,522.39,522.39,522.39,522.39,40
NFLX,12/29/20 15:16,522.66,522.98,522.63,522.84,281
NFLX,12/29/20 15:17,522.38,522.715,522.38,522.715,3
NFLX,12/29/20 15:18,523.08,523.43,523.04,523.11,61
NFLX,12/29/20 15:19,523.58,524.24,523.58,524.15,267
NFLX,12/29/20 15:20,523.84,525.41,523.84,525.41,246
NFLX,12/29/20 15:21,525.72,526.265,525.41,526.22,699
NFLX,12/29/20 15:22,526.235,526.3,526.11,526.12,959
NFLX,12/29/20 15:23,526.18,526.64,526.18,526.33,791
NFLX,12/29/20 15:24,526,526.56,526,526.545,445
NFLX,12/29/20 15:25,526.47,526.66,526.17,526.19,202
NFLX,12/29/20 15:26,526.35,526.55,526.2,526.2,374
NFLX,12/29/20 15:27,526.18,527.32,526.05,527.32,603
NFLX,12/29/20 15:28,527.185,528.24,527.185,528.24,544
NFLX,12/29/20 15:29,528.11,528.12,527.43,527.65,326
NFLX,12/29/20 15:30,527.54,527.74,527.06,527.37,778
NFLX,12/29/20 15:31,527.55,527.97,527.34,527.52,803
NFLX,12/29/20 15:32,527.57,527.87,527.34,527.62,436
NFLX,12/29/20 15:33,527.8,527.8,527.035,527.23,604
NFLX,12/29/20 15:34,527.43,527.43,526.95,527.37,532
NFLX,12/29/20 15:35,527.005,527.22,526.57,527.22,399
NFLX,12/29/20 15:36,527.61,527.62,527.35,527.62,1048
NFLX,12/29/20 15:37,527.46,528.29,527.46,528.25,1610
NFLX,12/29/20 15:38,528.11,528.34,527.96,527.96,746
NFLX,12/29/20 15:39,527.965,528.065,527.84,527.84,517
NFLX,12/29/20 15:40,528.01,528.455,528.01,528.34,221
NFLX,12/29/20 15:41,528.63,529.04,528.63,529.04,544
NFLX,12/29/20 15:42,529.04,529.335,529.04,529.28,409
NFLX,12/29/20 15:43,529.495,529.89,529.44,529.89,662
NFLX,12/29/20 15:44,529.74,529.885,529.49,529.76,778
NFLX,12/29/20 15:45,529.53,529.615,529.22,529.615,996
NFLX,12/29/20 15:46,529.74,529.74,529.21,529.4,600
NFLX,12/29/20 15:47,529.54,529.54,529.3,529.43,610
NFLX,12/29/20 15:48,529.4,529.7,529.17,529.17,905
NFLX,12/29/20 15:49,529.605,529.605,529.605,529.605,3
NFLX,12/29/20 15:50,529.26,529.36,529.05,529.3,203
NFLX,12/29/20 15:51,529.35,529.9,529.35,529.815,710
NFLX,12/29/20 15:52,529.77,530.57,529.64,530.57,1358
NFLX,12/29/20 15:53,530.83,531.02,530.705,531.02,112
NFLX,12/29/20 15:54,531.02,531.27,530.86,531.2,836
NFLX,12/29/20 15:55,531.32,531.89,531.32,531.85,705
NFLX,12/29/20 15:56,531.85,532.58,531.83,532.46,1199
NFLX,12/29/20 15:57,533.35,533.35,532.69,532.97,2285
NFLX,12/29/20 15:58,532.89,532.925,532.255,532.41,1221
NFLX,12/29/20 15:59,532.455,532.85,532.455,532.76,1658
NFLX,12/29/20 16:00,533,533.225,533,533,1326
NFLX,12/29/20 16:01,533.05,533.05,532.21,532.525,1123
NFLX,12/29/20 16:02,532.42,532.47,532.21,532.42,263
NFLX,12/29/20 16:03,532.22,532.22,531.91,531.91,400
NFLX,12/29/20 16:04,531.78,531.98,531.51,531.51,368
NFLX,12/29/20 16:05,531.42,531.45,531.4,531.45,300
NFLX,12/29/20 16:06,531.3,531.3,530.52,530.52,172
NFLX,12/29/20 16:07,530.61,531.97,530.61,531.86,1957
NFLX,12/29/20 16:08,532.19,532.74,532.19,532.5,1255
NFLX,12/29/20 16:09,532.64,533.12,532.59,533.12,903
NFLX,12/29/20 16:10,533.27,533.88,533.27,533.6,900
NFLX,12/29/20 16:11,533.395,533.395,532.48,532.49,700
NFLX,12/29/20 16:12,532.675,533.155,532.38,532.38,505
NFLX,12/29/20 16:13,532.33,532.74,531.55,531.78,1003
NFLX,12/29/20 16:14,531.46,531.86,531.31,531.86,787
NFLX,12/29/20 16:15,531.41,531.41,530.96,530.96,114
NFLX,12/29/20 16:16,531.16,531.93,531.03,531.71,776
NFLX,12/29/20 16:17,531.43,531.43,530.56,530.9,303
NFLX,12/29/20 16:18,530.9,531.06,530.42,531.06,230
NFLX,12/29/20 16:19,531.15,531.61,531.15,531.54,707
NFLX,12/29/20 16:20,531.69,531.99,531.14,531.465,1091
NFLX,12/29/20 16:21,531.52,531.94,531.52,531.87,315
NFLX,12/29/20 16:22,531.87,531.87,531.87,531.87,0
NFLX,12/29/20 16:23,531.87,531.87,531.87,531.87,0
NFLX,12/29/20 16:24,531.45,531.45,531.305,531.41,9
NFLX,12/29/20 16:25,531.22,531.22,531.05,531.12,267
NFLX,12/29/20 16:26,531.02,531.03,530.93,530.93,238
NFLX,12/29/20 16:27,530.985,531.09,530.96,530.96,400
NFLX,12/29/20 16:28,530.855,530.92,530.69,530.705,1000
NFLX,12/29/20 16:29,530.37,530.83,530.36,530.49,387
NFLX,12/29/20 16:30,530.47,530.84,530.47,530.84,58
NFLX,12/29/20 16:31,530.22,530.22,530.1,530.1,32
NFLX,12/29/20 16:32,530.365,530.365,530.11,530.11,209
NFLX,12/29/20 16:33,529.75,529.75,529.64,529.64,200
NFLX,12/29/20 16:34,530.05,530.05,529.71,529.71,551
NFLX,12/29/20 16:35,529.87,529.87,529.87,529.87,100
NFLX,12/29/20 16:36,529.87,529.87,529.87,529.87,0
NFLX,12/29/20 16:37,530.31,530.57,530.31,530.57,105
NFLX,12/29/20 16:38,531.19,531.2,531.05,531.05,101
NFLX,12/29/20 16:39,531.29,531.29,531.29,531.29,100
NFLX,12/29/20 16:40,531.28,531.28,530.84,530.84,220
NFLX,12/29/20 16:41,530.84,530.84,530.84,530.84,0
NFLX,12/29/20 16:42,530.67,530.67,530.67,530.67,100
NFLX,12/29/20 16:43,530.81,530.905,530.81,530.81,205
NFLX,12/29/20 16:44,530.15,530.23,530.15,530.22,100
NFLX,12/29/20 16:45,530.645,531.2,530.645,531.06,564
NFLX,12/29/20 16:46,531.3,532.185,531.3,532.185,882
NFLX,12/29/20 16:47,532.5,532.59,532.24,532.59,513
NFLX,12/29/20 16:48,532.68,533.43,532.68,533.42,211
NFLX,12/29/20 16:49,533.535,534.24,533.515,534.24,1185
NFLX,12/29/20 16:50,534.18,534.24,533.935,534.21,300
NFLX,12/29/20 16:51,534.135,534.135,533.49,533.56,851
NFLX,12/29/20 16:52,533.59,533.77,533.59,533.77,107
NFLX,12/29/20 16:53,533.84,533.84,533.33,533.65,302
NFLX,12/29/20 16:54,533.715,533.87,533.615,533.75,60
NFLX,12/29/20 16:55,533.58,534.035,533.58,534.035,676
NFLX,12/29/20 16:56,534.35,534.8,534.35,534.38,606
NFLX,12/29/20 16:57,533.73,534.72,533.73,534.72,225
NFLX,12/29/20 16:58,534.665,534.85,534.495,534.8,616
NFLX,12/29/20 16:59,534.57,535.625,534.54,535.48,1862
NFLX,12/29/20 17:00,535.63,536.49,535.585,536.13,1344
NFLX,12/29/20 17:01,536.07,536.165,535.83,536.14,1267
NFLX,12/29/20 17:02,536.12,536.395,536.03,536.24,1686
NFLX,12/29/20 17:03,536.08,536.08,535.31,535.71,744
NFLX,12/29/20 17:04,536,536.05,535.4,535.4,615
NFLX,12/29/20 17:05,535.715,535.91,534.99,534.99,395
NFLX,12/29/20 17:06,535.3,535.55,534.98,534.99,411
NFLX,12/29/20 17:07,534.83,535.04,534.8,535.02,155
NFLX,12/29/20 17:08,534.88,535.53,534.735,535.53,425
NFLX,12/29/20 17:09,535.26,535.435,535.26,535.435,5
NFLX,12/29/20 17:10,535.28,535.3,534.67,534.76,1145
NFLX,12/29/20 17:11,534.62,534.71,534.39,534.615,151
NFLX,12/29/20 17:12,534.5,534.715,534.225,534.62,304
NFLX,12/29/20 17:13,534.33,534.39,534.18,534.39,185
NFLX,12/29/20 17:14,534.52,534.55,534.385,534.45,515
NFLX,12/29/20 17:15,534.585,534.675,534.01,534.01,223
NFLX,12/29/20 17:16,534.015,534.62,534.01,534.58,195
NFLX,12/29/20 17:17,534.61,534.88,534.34,534.79,159
NFLX,12/29/20 17:18,534.33,534.575,534.33,534.575,5
NFLX,12/29/20 17:19,534.365,534.42,534.365,534.42,34
NFLX,12/29/20 17:20,533.99,533.99,533.43,533.615,505
NFLX,12/29/20 17:21,533.66,533.78,533.11,533.11,419
NFLX,12/29/20 17:22,532.725,533.35,532.71,533.35,405
NFLX,12/29/20 17:23,533.07,533.46,532.8,533.345,404
NFLX,12/29/20 17:24,533.345,533.46,533.07,533.07,131
NFLX,12/29/20 17:25,532.9,532.9,532.51,532.7,883
NFLX,12/29/20 17:26,532.595,533.17,532.595,532.995,456
NFLX,12/29/20 17:27,533.185,533.185,532.96,532.96,5
NFLX,12/29/20 17:28,533.06,533.28,532.965,533.27,412
NFLX,12/29/20 17:29,533.4,533.4,532.68,532.74,508
NFLX,12/29/20 17:30,532.67,532.72,532.31,532.31,732
NFLX,12/29/20 17:31,532.14,532.55,532.07,532.55,805
NFLX,12/29/20 17:32,532.51,532.82,532.51,532.76,256
